,comedies_pre1_tag_type,comedies_pre1_tag_type_percentage,tragedies_pre1_tag_type,tragedies_pre1_tag_type_percentage,schauspiel_pre1_tag_type,schauspiel_pre1_tag_type_percentage
Schadenfreude,1550,1.735858353958317,839,0.9520351311175916,513,1.0736260516512492
abhorrence,8083,9.05222133873876,10558,11.980437323408264,4445,9.302666276003515
"admiration, reverence",6265,7.0162274758379715,6963,7.901097280061729,3805,7.9632497593235945
anger,14640,16.395462130290166,8395,9.526024941277928,5229,10.94345150893642
being moved,13183,14.763755277569352,10483,11.895332871878086,6577,13.764597547193505
compassion,1998,2.2375774136830433,1698,1.9267647826432306,1201,2.513498807082165
desire,71,0.07951351169744549,92,0.10439479387701839,33,0.06906366414130845
despair,1188,1.3304514351628907,2780,3.1545383367185993,1272,2.6620903269013434
fear,5068,5.675696863135967,6627,7.519829337206531,2873,6.01272445690846
friendship,1346,1.5073969964050935,1081,1.226638828054966,686,1.4356870788162908
joy,13807,15.462578253614506,10262,11.644558421369162,7019,14.689632079025575
love,8964,10.038860828956357,9555,10.842307124944682,5185,10.851366623414675
suffering,13130,14.704400120950131,18794,21.326040827442213,8944,18.7183458206019
